2148	1062	31	Москва, Русаковская улица, 31
2151	1070	26К2	Москва, проспект Буденного, 26к2
10674	1070	26К1	Москва, проспект Будённого, 26к1
2152	1082	25К2	Москва, Ломоносовский проспект, 25к2
2153	1082	25К1	Москва, Ломоносовский проспект, 25к1
2155	1082	25К3	Москва, Ломоносовский проспект, 25к3
2156	1082	25К4	Москва, Ломоносовский проспект, 25к4
8145	1082	25К5	Москва, Ломоносовский проспект, 25к5
10634	1085	Дом 27к1	Москва, Ярцевская улица, 27к1
7853	1088	Вл78	Москва, проспект Вернадского, вл78
2157	1092	15	Москва, Староволынская улица, 15к1
2158	1092	15К1	Москва, Староволынская улица, 15к1
2160	1092	15К2	Москва, Староволынская улица, 15к2
2162	1093	12к1	Москва, Староволынская улица, 12к1
2163	1093	12К2	Москва, Староволынская улица, 12к2
2164	1093	12К3	Москва, Староволынская улица, 12к3
2165	1093	12К4	Москва, Староволынская улица, 12к4
2166	1093	12К5	Москва, Староволынская улица, 12к5
2169	1094	70К1	Москва, Мосфильмовская улица, 70к1
2171	1094	70К2	Москва, Мосфильмовская улица, 70к2
2173	1094	70К3	Москва, Мосфильмовская улица, 70к3
2174	1094	70К4	Москва, Мосфильмовская улица, 70к4
2175	1094	70К5	Москва, Мосфильмовская улица, 70к5
2177	1094	70К6	Москва, Мосфильмовская улица, 70к6
2178	1094	70К7	Москва, Мосфильмовская улица, 70к7
4089	1097	Димломат	Москва, Мичуринский проспект, 39
2182	1098	45К2	Москва, Крылатская улица, 45к2
2183	1098	45К1	Москва, Крылатская улица, 45К1
11512	1098	45с5	Москва, Крылатская улица, 45с5
11513	1098	45К3	Москва, Крылатская улица, 45к3
11515	1098	45К4	Москва, Крылатская улица, 45к4
2184	1099	2В	Москва, улица Пырьева, 2А
2185	1099	8	Москва, Мосфильмовская улица, 8
1310	1101	Корпус 2	Москва, улица Герасима Курина, 36
10654	1102	1г	Москва, Минская улица, 1Гк1
10635	1107	Дом 7к1	Москва, Мичуринский проспект, 7к1
10636	1107	Дом 7	Москва, Мичуринский проспект, 7
10637	1107	Дом 5	Москва, Мичуринский проспект, 5
10638	1107	Дом 3	Москва, Мичуринский проспект, 3
10639	1107	Дом 29к3	Москва, Ломоносовский проспект, 29к3
10640	1107	Дом 29к1	Москва, Ломоносовский проспект, 29к1
10641	1107	Дом 29к2	Москва, Ломоносовский проспект, 29к2
28	1116	20А	Москва, улица Столетова, 7к1
29	1116	21-22	Москва, Мосфильмовская улица, 53
2189	1116	9	Москва, улица Столетова, 9
2190	1116	23	Москва, Мосфильмовская улица, 55
2191	1116	18б	Москва, улица Столетова, 17
2192	1116	18А	Москва, улица Столетова, 19
2194	1116	19б	Москва, улица Столетова, 11
2195	1131	32	Москва, Ярцевская улица, 32
46328	1172	корпус 1	Москва, Нарвская улица, 1Ак4
2196	1173	13	Москва, Ходынский бульвар, 13
2197	1173	19	Москва, Ходынский бульвар, 19
2198	1173	5К1	Москва, Ходынский бульвар, 5к1
2199	1173	2	Москва, улица Гризодубовой, 2
11548	1173	12	Москва, проезд Берёзовой Рощи, 12
37326	1179	дом 25	Москва, улица Верхняя Масловка, 25
2200	1181	3	Москва, Чапаевский переулок, 3
33602	1212	Green, дом 63	Московская область, Одинцовский район, село Лайково, жилой комплекс Город-событие Лайково, квартал Лайково Грин
33603	1212	Green, дом 64	Московская область, Одинцовский район, село Лайково, жилой комплекс Город-событие Лайково, квартал Лайково Грин
40147	1212	Park, дом 68	Московская область, Одинцовский район, село Лайково, жилой комплекс Город-событие Лайково, квартал Лайково Парк, 68
9414	6694	12	Московская область, Юбилейный, Лесная улица, 12
40342	1212	Park, дом 69	Московская область, Одинцовский район, село Лайково, жилой комплекс Город-событие Лайково, квартал Лайково Парк, 69
7954	1287	2 корпус (3 фаза)	Москва, поселение Внуковское, улица Самуила Маршака, 4
43873	1212	Park, дом 70	Московская область, Одинцовский район, село Лайково, жилой комплекс Город-событие Лайково, квартал Лайково Парк
79741	1212	Melody, дом 17	Московская область, Одинцовский район, село Лайково, жилой комплекс Город-событие Лайково, квартал Лайково Мелоди, 17
90608	1212	Melody, дом 19	Московская область, Одинцовский район, село Лайково, жилой комплекс Город-событие Лайково, квартал Лайково Мелоди, 19
90619	1212	Melody, дом 20	Московская область, Одинцовский район, село Лайково, жилой комплекс Город-событие Лайково, квартал Лайково Мелоди, 20
90620	1212	Melody, дом 22	Московская область, Одинцовский район, село Лайково, жилой комплекс Город-событие Лайково, квартал Лайково Мелоди, 22
90622	1212	Melody, дом 23	Московская область, Одинцовский район, село Лайково, жилой комплекс Город-событие Лайково, квартал Лайково Мелоди
90623	1212	Drive, дом 36	Московская область, Одинцовский район, село Лайково, жилой комплекс Город-событие Лайково, квартал Лайково Драйв
93325	1212	Melody, дом 18	Московская область, Одинцовский район, село Лайково, жилой комплекс Город-событие Лайково, квартал Лайково Мелоди
93326	1212	Melody, дом 21	Московская область, Одинцовский район, село Лайково, жилой комплекс Город-событие Лайково, квартал Лайково Мелоди
106612	1212	Green, дом 62	Московская область, Одинцовский район, село Лайково, жилой комплекс Город-событие Лайково, квартал Лайково Грин
2201	1215	10	Москва, улица Академика Королева, 10
10646	1237	Аэлита	Москва, Юровская улица, 94
2203	1244	78К2	Москва, проспект Маршала Жукова, 78к2
2204	1244	78	Москва, проспект Маршала Жукова, 78
2205	1244	78К5	Москва, проспект Маршала Жукова, 78к5
11635	1246	Дом 14к1	Москва, улица Твардовского, 14к1
11639	1246	Дом 14к3	Москва, улица Твардовского, 14к3
10855	1248	10	Москва, улица Маршала Соколовского, 10
12516	1250	39к1	Москва, улица Исаковского, 39к1
2206	1252	4к1	Москва, Береговая улица, 4к1
2207	1252	4К10	Москва, Береговая улица, 4к10
2208	1252	4К5	Москва, Береговая улица, 4к5
2209	1253	22	Москва, улица Расплетина, 22
2210	1253	22К2	Москва, улица Расплетина, 22к2
2211	1254	А	Москва, Ленинградское шоссе, 25к3
2212	1254	Б	Москва, Ленинградское шоссе, 25к2
38995	1254	В	Москва, Ленинградское шоссе, 25к1
46445	1255	дом 16	Москва, улица Соловьиная Роща, 16
2214	1256	5	Москва, улица Маршала Соколовского, 5
10680	1280	56	Москва, Привольная улица, 56
7935	1287	1 корпус (1 фаза)	Москва, поселение Внуковское, улица Анны Ахматовой, 8
7936	1287	2 корпус (1 фаза)	Москва, поселение Внуковское, улица Анны Ахматовой, 6
7937	1287	3 корпус (1 фаза)	Москва, поселение Внуковское, улица Анны Ахматовой, 4
7938	1287	4 корпус (1 фаза)	Москва, поселение Внуковское, улица Анны Ахматовой, 2
21555	1363	103	Москва, Ленинский проспект, 103
7939	1287	5 корпус (1 фаза)	Москва, поселение Внуковское, улица Самуила Маршака, 13
7940	1287	6 корпус (1 фаза)	Москва, поселение Внуковское, улица Самуила Маршака, 15
7941	1287	7 корпус (1 фаза)	Москва, поселение Внуковское, улица Самуила Маршака, 15к1
7942	1287	8 корпус (1 фаза)	Москва, поселение Внуковское, улица Анны Ахматовой, 12
7943	1287	9 корпус (1 фаза)	Москва, поселение Внуковское, улица Анны Ахматовой, 10
7944	1287	1 корпус (2 фаза)	Москва, поселение Внуковское, улица Бориса Пастернака, 11
7945	1287	2 корпус (2 фаза)	Москва, поселение Внуковское, улица Самуила Маршака, 8
7946	1287	3 корпус (2 фаза)	Москва, поселение Внуковское, улица Самуила Маршака, 10
7947	1287	4 корпус (2 фаза)	Москва, поселение Внуковское, улица Самуила Маршака, 12
7948	1287	5 корпус (2 фаза)	Москва, поселение Внуковское, улица Бориса Пастернака, 13
7949	1287	6 корпус (2 фаза)	Москва, поселение Внуковское, улица Бориса Пастернака, 15
7950	1287	7 корпус (2 фаза)	Москва, поселение Внуковское, улица Самуила Маршака, 14
7951	1287	8 корпус (2 фаза)	Москва, поселение Внуковское, улица Бориса Пастернака, 17
7952	1287	9 корпус (2 фаза)	Москва, поселение Внуковское, улица Самуила Маршака, 16
7953	1287	1 корпус (3 фаза)	Москва, поселение Внуковское, микрорайон Переделкино Ближнее, улица ахматовой
7955	1287	3 корпус (3 фаза)	Москва, поселение Внуковское, улица Самуила Маршака, 2
7956	1287	4 корпус (3 фаза)	Москва, поселение Внуковское, улица Бориса Пастернака, 5
7957	1287	5 корпус (3 фаза)	Москва, поселение Внуковское, улица Бориса Пастернака, 7
